ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta
15,Navarra,2011-01-01,0.8084639498432602,0.011755485893416929,0.2427899686520376,0.0017241379310344827,0.017398119122257052,0.030564263322884016,0.0506269592476489,0.24247648902821317,0.09043887147335423,0.044200626959247646,0.0023510971786833853,0.009561128526645767,0.02225705329153605,0.0,0.0004702194357366771,0.0017241379310344827,0.006112852664576803,0.03401253918495298,638000,28097
16,Euskadi,2011-01-01,0.9080586080586082,0.015018315018315017,0.2866300366300366,0.002747252747252747,0.028021978021978023,0.04995421245421245,0.055311355311355316,0.25906593406593403,0.08072344322344323,0.04322344322344322,0.002335164835164835,0.009752747252747253,0.018086080586080588,0.0,0.0015567765567765569,0.0020604395604395605,0.02248168498168498,0.03108974358974359,2184000,29364
17,La Rioja,2011-01-01,0.8987538940809969,0.009968847352024923,0.26292834890965733,0.003738317757009346,0.024922118380062305,0.038317757009345796,0.07663551401869159,0.28255451713395635,0.0794392523364486,0.04205607476635514,0.0021806853582554517,0.012772585669781933,0.016510903426791276,0.0,0.0021806853582554517,0.0024922118380062306,0.009345794392523364,0.03271028037383178,321000,24630
18,Ceuta,2011-01-01,0.6280487804878049,0.018292682926829267,0.1524390243902439,0.0024390243902439024,0.029268292682926828,0.012195121951219513,0.029268292682926828,0.20365853658536587,0.06463414634146342,0.021951219512195124,0.0012195121951219512,0.007317073170731707,0.024390243902439025,0.0,0.004878048780487805,0.006097560975609756,0.025609756097560978,0.024390243902439025,82000,19000
19,Melilla,2011-01-01,0.59625,0.01375,0.13374999999999998,0.00125,0.03,0.01125,0.02,0.19125,0.065,0.0275,0.00125,0.0025,0.028749999999999998,0.0,0.0,0.0025,0.03875,0.028749999999999998,80000,17684
0,NACIONAL,2010-01-01,0.8205124350328594,0.013936257033632576,0.23027361367638846,0.003262316910785619,0.027056397921051502,0.031830677376401356,0.04141789442034277,0.25584811648984146,0.0864782440616812,0.041014131695373914,0.002456939134916885,0.007145311627507409,0.022535544005841672,4.295348137966582e-05,0.0017847171513251149,0.0020853915209827754,0.023134745071088012,0.03020918345431897,46562000,23038
1,Andalucía,2010-01-01,0.7765719103830403,0.012346422548783426,0.20045772103107684,0.0025776921223801493,0.026427366899542278,0.023271500843170322,0.03526860997350036,0.26644182124789206,0.0773066730908215,0.04524211033485907,0.0020115634786798363,0.006624909660322814,0.021247892074198988,4.8181161165984094e-05,0.0023970127680077087,0.0026379185738376293,0.0242471693567815,0.02801734521801975,8302000,17434
2,Aragón,2010-01-01,0.9824274013402831,0.01496649292628444,0.2721518987341772,0.003499627699180938,0.030081906180193598,0.043261355174981385,0.04914370811615786,0.30476545048399106,0.09895755770662695,0.04973938942665674,0.0022338049143708115,0.016306775874906924,0.0308265078183172,0.0,0.001191362620997766,0.002680565897244974,0.027922561429635145,0.03469843633655994,1343000,25173
3,Asturias,2010-01-01,1.1826208178438662,0.01570631970260223,0.3420074349442379,0.005390334572490707,0.037267657992565054,0.06263940520446097,0.057527881040892195,0.39135687732342006,0.11263940520446097,0.055669144981412635,0.0034386617100371744,0.011059479553903346,0.027695167286245354,0.0,0.0013011152416356876,0.0022304832713754643,0.009200743494423793,0.0474907063197026,1076000,21125
4,Baleares,2010-01-01,0.7068077276908924,0.01030358785648574,0.19586016559337624,0.0034958601655933758,0.020331186752529897,0.032750689972401104,0.04075436982520699,0.22548298068077277,0.057681692732290714,0.03560257589696412,0.002759889604415823,0.008003679852805888,0.02373505059797608,0.0,0.002115915363385465,0.0015639374425023,0.017111315547378103,0.029254829806807728,1087000,24397
5,Canarias,2010-01-01,0.6235265465172918,0.011154408183146615,0.1945932781295665,0.003360935216755967,0.05528494885533366,0.024744276668290304,0.02839746712128592,0.16264003896736481,0.05387238188017536,0.025962006819288848,0.0014612761811982466,0.005455431076473454,0.016122747199220654,4.870920603994155e-05,0.0017535314174378957,0.0018509498295177789,0.009839259620068192,0.02698490014612762,2053000,19878
