ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta,Inversión,Tasa pobreza,Médicos especialistas
0,NACIONAL,2015,422568.0,7567.0,111381.0,2028.0,14065.0,21333.0,25835.0,124197.0,51848.0,20360.0,1563.0,4148.0,12169.0,15.0,674.0,802.0,9504.0,15079.0,46410000,23219,1176.8890815966688,22.1,1.85
1,Andalucía,2015,72001.0,1450.0,17461.0,355.0,2460.0,2536.0,4124.0,23523.0,8468.0,3794.0,230.0,742.0,2033.0,1.0,145.0,160.0,2284.0,2235.0,8398000,17235,1007.0433258380192,35.7,1.54
2,Aragón,2015,14339.0,221.0,3719.0,68.0,565.0,811.0,857.0,4532.0,1564.0,693.0,47.0,237.0,382.0,0.0,17.0,29.0,127.0,470.0,1321000,24874,1206.5960254609063,14.4,2.21
3,Asturias,2015,13550.0,180.0,3603.0,52.0,374.0,843.0,675.0,4388.0,1617.0,624.0,50.0,144.0,348.0,1.0,5.0,27.0,119.0,500.0,1044000,20471,1425.363541062636,16.7,2.25
4,Baleares,2015,8322.0,246.0,2198.0,31.0,383.0,334.0,533.0,2418.0,927.0,355.0,21.0,87.0,272.0,1.0,16.0,15.0,125.0,360.0,1129000,25002,1171.6590868044998,21.7,1.93
5,Canarias,2015,15110.0,288.0,4270.0,64.0,929.0,563.0,737.0,4092.0,1954.0,720.0,74.0,112.0,437.0,0.0,26.0,31.0,197.0,616.0,2127000,19065,1238.568947542942,28.5,1.83
6,Cantabria,2015,6041.0,72.0,1745.0,17.0,95.0,510.0,363.0,1647.0,795.0,294.0,8.0,72.0,114.0,0.0,12.0,7.0,109.0,181.0,583000,21122,1347.5868845571617,14.9,1.72
7,Castilla y León,2015,29302.0,504.0,7867.0,170.0,1172.0,1329.0,1632.0,8724.0,3743.0,1353.0,157.0,416.0,839.0,1.0,26.0,40.0,436.0,893.0,2464000,21603,1321.881253796785,18.3,1.94
8,Castilla La Mancha,2015,19923.0,229.0,4914.0,109.0,676.0,1030.0,1213.0,5589.0,2868.0,1079.0,96.0,207.0,688.0,1.0,23.0,31.0,422.0,748.0,2054000,18069,1174.7330435691463,28.5,1.79
9,Cataluña,2015,64866.0,1023.0,17415.0,364.0,1841.0,4549.0,4866.0,17927.0,7088.0,3285.0,187.0,459.0,1903.0,4.0,94.0,122.0,838.0,2901.0,7396000,27630,1144.653265851351,13.9,1.9
10,Valencia,2015,44351.0,950.0,11618.0,194.0,1480.0,2048.0,3081.0,13451.0,5148.0,1990.0,167.0,454.0,1389.0,2.0,63.0,74.0,822.0,1420.0,4931000,20301,1112.0155455774432,25.3,1.78
11,Extremadura,2015,11519.0,153.0,3307.0,32.0,325.0,401.0,587.0,3513.0,1491.0,557.0,35.0,125.0,339.0,0.0,24.0,22.0,339.0,269.0,1087000,16460,1286.600178333302,29,1.81
